ArtistName,Movement,Year,ArtistName1,Movement1,Year1,ArtistName2,Movement2,Year2,ArtistName3,Movement3,Year3,ArtistName4,Movement4,Year4,ArtistName5,Movement5,Year5,ArtistName6,Movement6,Year6,ArtistName7,Movement7,Year7,ArtistName8,Movement8,Year8,ArtistName8,Movement8,Year8
Marcel Duchamp,Impressionism,1909,Otto Dix,New Obj,1920,Andy Warhol,Pop Art,1962,Yoshihara Jiro,Gutai,1971,Jackson Pollock,Impressionism,1950,Pablo Picasso,Impressionism,1904,Vincent Van Gogh,Impressionism,1889,Max Ernst,Dada,1919,Edouard Manet,Impressionism,1862,,,
Marcel Duchamp,Impressionism,1910,Otto Dix,New Obj,1921,Andy Warhol,Pop Art,1962,Yoshihara Jiro,Gutai,1965,Jackson Pollock,Impressionism,1952,Pablo Picasso,Impressionism,1905,Vincent Van Gogh,Impressionism,1890,Max Ernst,Dada,1920,Edouard Manet,Impressionism,1869,,,
Marcel Duchamp,Cubism,1911,Otto Dix,New Obj,1924,Andy Warhol,Pop Art,1968,Yoshihara Jiro,Gutai,1962,Jackson Pollock,Impressionism,1943,Pablo Picasso,Impressionism,1906,Vincent Van Gogh,Impressionism,1888,Max Ernst,Dada,1921,Edouard Manet,Impressionism,1863,,,
Marcel Duchamp,Cubism,1912,Otto Dix,New Obj,1925,Andy Warhol,Pop Art,1986,Yoshihara Jiro,Gutai,1956,Jackson Pollock,Impressionism,1947,Pablo Picasso,Impressionism,1907,Vincent Van Gogh,Impressionism,1885,Max Ernst,Dada,1922,Edouard Manet,Impressionism,1874,,,
Marcel Duchamp,Cubism,1913,Otto Dix,New Obj,1926,Andy Warhol,Pop Art,1969,Yoshihara Jiro,Gutai,1968,Jackson Pollock,Impressionism,1948,Pablo Picasso,Impressionism,1908,Vincent Van Gogh,Impressionism,1886,Max Ernst,Dada,1918,Edouard Manet,Impressionism,1866,,,
Marcel Duchamp,Cubism,1914,Otto Dix,New Obj,1927,Andy Warhol,Pop Art,1978,Yoshihara Jiro,Gutai,1963,Jackson Pollock,Impressionism,1946,Pablo Picasso,Cubism,1909,Vincent Van Gogh,Impressionism,1887,Max Ernst,Cubism,1913,Edouard Manet,Impressionism,1883,,,
Marcel Duchamp,Dada,1914,Otto Dix,New Obj,1927,Andy Warhol,Pop Art,1984,Yoshihara Jiro,Gutai,1960,Jackson Pollock,Impressionism,1943,Pablo Picasso,Cubism,1910,Vincent Van Gogh,Impressionism,1883,Max Ernst,Cubism,1916,Edouard Manet,Impressionism,1870,,,
Marcel Duchamp,Dada,1914,Otto Dix,New Obj,1932,Andy Warhol,Pop Art,1986,Yoshihara Jiro,Gutai,1965,Jackson Pollock,Impressionism,1949,Pablo Picasso,Cubism,1911,Vincent Van Gogh,Impressionism,1890,Max Ernst,Cubism,1917,Edouard Manet,Impressionism,1882,,,
Marcel Duchamp,Dada,1915,Otto Dix,Fauvism,1967,Andy Warhol,Pop Art,1962,Yoshihara Jiro,Gutai,1970,,,,Pablo Picasso,Cubism,1912,Vincent Van Gogh,Impressionism,1886,Max Ernst,Cubism,1934,Edouard Manet,Impressionism,1879,,,
Marcel Duchamp,Dada,1923,Otto Dix,Fauvism,1969,Andy Warhol,Pop Art,1963,Yoshihara Jiro,Gutai,1963,,,,Pablo Picasso,Cubism,1913,Vincent Van Gogh,Impressionism,1884,Max Ernst,Surrealism,1922,Edouard Manet,Impressionism,1865,,,
Marcel Duchamp,Dada,1916,Otto Dix,Fauvism,1966,Andy Warhol,Pop Art,1963,Yoshihara Jiro,Gutai,1967,,,,Pablo Picasso,Cubism,1914,Vincent Van Gogh,Impressionism,1883,Max Ernst,Surrealism,1923,Edouard Manet,Impressionism,1868,,,
Marcel Duchamp,Dada,1917,Otto Dix,Fauvism,1949,Andy Warhol,Pop Art,1974,,,,,,,Pablo Picasso,Cubism,1915,Vincent Van Gogh,Impressionism,1882,Max Ernst,Surrealism,1924,,,,,,
Marcel Duchamp,Dada,1917,,,,Andy Warhol,Pop Art,1976,,,,,,,Pablo Picasso,Cubism,1916,Vincent Van Gogh,Impressionism,1881,Max Ernst,Surrealism,1925,,,,,,
Marcel Duchamp,Dada,1917,,,,Andy Warhol,Pop Art,1966,,,,,,,Pablo Picasso,Cubism,1917,Vincent Van Gogh,Impressionism,1880,Max Ernst,Surrealism,1927,,,,,,
Marcel Duchamp,Dada,1919,,,,,,,,,,,,,Pablo Picasso,Cubism,1918,Vincent Van Gogh,Impressionism,1891,Max Ernst,Surrealism,1930,,,,,,
Marcel Duchamp,Dada,1919,,,,,,,,,,,,,Pablo Picasso,Cubism,1919,,,,,,,,,,,,
Marcel Duchamp,Pop Art,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Duchamp,Pop Art,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,
